,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker normiert ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC09799218,AC09799218,990029542500603338,,,"Dalton, Richard",,,"Antiquities and views in Greece and Egypt, with the manners and customs of the inhabitans, from drawings made on the spot.",,,London,,,,,,1791,1791,,,,,,"Bibliografischer Nachweis: Weber, Voyages and Travels (1953), 825",,,,eng,,,,,,,,,,,,,,,Ägypten ; Brauch ; Brauch ; Griechenland,TravelogueE18 Orient,,*46.N.3 PRUNK,ZALT,
AC09799029,AC09799029,990029540550603338,http://data.onb.ac.at/ABO/%2BZ183925909,Z183925909,"Dallaway, James ; http://d-nb.info/gnd/127696970",,,"Constantinople Ancient and Modern, with Excursions to the Shores and Islands of the Archipelago and to the Troad $ By James Dallaway, M. B. F. S. A. late Chaplain and Physician of The British Embassy To The Porte",,,London,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,"Printed by T. Bensley, for T. Cadell Jun. & W. Davies",Cadell and Davies ; http://d-nb.info/gnd/803438-2,"Bensley, Thomas ; http://d-nb.info/gnd/1037509838",1797,1797,"2 ungezählte Seiten, xi Seiten, 1 ungezählte Seite, 415 Seiten, 9 ungezählte Seiten, 1 gefaltetes Blatt Karte, 9 Blätter Bildtafeln","1 Karte, 9 Illustrationen",9,1,4°,"Die Illustrationen sind 1 illustrierende Kupferstich-Vignette auf dem Titelblatt, 1 kolorierte Kupferstich-Karte (Sketch of the Geography of the Troad), 9 kolorierte Kupferstich-Illustrationen (gezeichnet von Gaetano Mercati, gestochen von Johann Constantin Stadler). - Fußnoten","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0269 ; Weber I, 640","Seite i: Widmung an John Stuart Marquis of Bute. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: London, Printed by T. Bensley, for T. Cadell Jun. & W. Davies in the Strand. 1797.",,eng,,,,,,,,,"Stadler, Johann Constantin $ Mercati, Gaetano",,,Reisebericht,,,Konstantinopel ; Reise ; Geschichte 1794- ; Osmanisches Reich,TravelogueE18 Asien Europa $ TravelogueE18 Orient,,180345-C MAG,ZALT,
AC09638533,AC09638533,990042649740603338,http://data.onb.ac.at/ABO/%2BZ169515808,Z169515808,"Pococke, Richard ; http://d-nb.info/gnd/11768757X",A description of the east and some other countries,,"<<A>> Description Of The East And Some other Countries $ By Richard Pococke, LL. D. F. R: S:",Volume the First ; Observations on Egypt,,London,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,"Printed for the Author, by W. Bowyer; and sold by J. and P. Knapton, W. Innys, W. Meadows, G. Hawkins, S. Birt, T. Longman, C. Hitch, R. Dodsley, J. Nourse, and J. Rivington","Pococke, Richard ; http://d-nb.info/gnd/11768757X","Bowyer, William ; http://d-nb.info/gnd/119176025",1743,1743,"2 ungezählte Seiten, vi Seiten, 8 ungezählte Seiten, 310 Seiten, LXXVI, das heißt 75 teilweise gefaltete Blätter Bildtafeln","3 Karten, 74 Illustrationen, 2 Schriftbeispiele",74,3,2°,"Die Illustrationen sind 1 Kupferstich-VIgnette auf dem Titelblatt, 1 illustrierender Kupferstich-Vignette auf Seite iii (Widmungsvorrede, gestochen von H. Gravelot), 3 Kupferstich-Karten (1 gestochen und signiert von T. Jefferys), 70 Kupferstich-Illustrationen und Pläne, 2 Schriftbeispiele. - Vignetten im Text ; Gedruckte Marginalien ; Fußnoten","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0829 ; Tobler, Bibliographia Geographica Palaestinae, S. 127 ; Weber I, 513 ; Stuck I, 1119 ; Röhricht, Bibliotheca Geographica Palastinae, 1396","Seite i-ii: Widmung des Verfassers an Henry, Earl of Pembroke and Montgomery. - Seite iii-vi: Preface",,eng,,,,,,,,,"Mosley, C. $ Ehret, Georg Dionysius ; http://d-nb.info/gnd/118529307 $ Jefferys, Thomas ; http://d-nb.info/gnd/142856207 $ Gravelot, Hubert François ; http://d-nb.info/gnd/121286673",,,Reisebericht,,,Orient,TravelogueE18 Afrika $ TravelogueE18 Orient,,62.P.1.(Vol.1) PRUNK,ZALT,
AC09638534,AC09638534,990042649760603338,http://data.onb.ac.at/ABO/%2BZ169515900,Z169515900,"Pococke, Richard ; http://d-nb.info/gnd/11768757X",A description of the east and some other countries,,"<<A>> Description Of The East, And Some other Countries $ By Richard Pococke, LL. D. F. R. S.","Vol. 2. Part 1. ; Observations on Palæstine or the Holy Land, Syria, Mesopotamia, Cyprus, and Candia",,London,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,"Printed for the Author, by W. Bowyer","Pococke, Richard ; http://d-nb.info/gnd/11768757X","Bowyer, William ; http://d-nb.info/gnd/119176025",1745,1745,"xi Seiten, 1 ungezählte Seite, 268 Seiten, XXXVI teilweise gefaltete Blätter, 1 ungezähltes Blatt Bildtafel","5 Karten, 32 Illustrationen",32,5,2°,"Die Illustrationen sind 1 Kupfertitel (gezeichnet von H. Gravelot, gestochen von C. Grignon), 1 Kupferstich-Vignette auf dem Titelblatt (gezeichnet von H. Gravelot, gestochen von C. Grignon), 5 Kupferstich-Karten, 31 Kupferstich-Illustrationen und Pläne. - Vignetten im Text ; Gedruckte Marginalien ; Fußnoten","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0829 ; Stuck I, 1119 ; Tobler, Bibliographia Geographica Palaestinae, 127 ; Rühricht, Bibliotheca Geographica Palaestinae, 1396 ; Weber I, 513",Seite iii-vi: Preface,,eng,,,,,,,,,"Grignion, Charles ; http://d-nb.info/gnd/104347384",,,Reisebericht,,,Orient,TravelogueE18 Europa Asien $ TravelogueE18 Orient,,"62.P.1.(Vol.2,1) PRUNK",ZALT,
AC10057593,AC10057593,990032182100603338,http://data.onb.ac.at/ABO/%2BZ164545604,Z164545604,"Le-Chevalier, Jean Baptiste",,,"Description Of The Plain Of Troy: With A Map Of That Region, Delineated From An Actual Survey. $ Read in French before the Royal Society of Edinburgh, Feb. 21. and 28. and March 21. 1791 $ By The Author M. Chevalier, Fellow Of That Society, And Of The Academies Of Metz, Cassel And Rome. ; Translated from the Original not yet published, And the Version accompanied with Notes and Illustrations, By Andrew Dalzel, M.A. F.R.S. Edin. Professor Of Greek And Principal Librarian In The University Of Edinburgh.",,,Edinburgh,Edinburgh ; http://d-nb.info/gnd/4013557-3,,Printed For T. Cadell,,,M DCC XCI.,1791,"xv Seiten, 1 ungezählte Seite, (xiv)-(xvi) Seiten, 154 Seiten, 10 ungezählte Seiten, 4 Blätter Karten, 3 davon gefaltet.",,,,4°,Die Illustrationen sind 4 Karten.,"Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0533",,,eng,,,,,,"Dalzel, Andrew",,,,,,Reisebericht,,,Troja,,,73.G.46 PRUNK,ZALT,
AC09638535,AC09638535,990042649780603338,http://data.onb.ac.at/ABO/%2BZ16951600X,Z16951600X,"Pococke, Richard ; http://d-nb.info/gnd/11768757X",A description of the east and some other countries,,"<<A>> Description Of The Wast, And Some other Countries $ by Richard Pococke, LL. D. F. R. S.","Vol. 2. Part 2. ; Observations on the Islands of the Archipelago, Asia Minor, Thrace, Greece, and some other Parts of Europa",,London,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,"Printed for the Author, by W. Bowyer","Pococke, Richard ; http://d-nb.info/gnd/11768757X","Bowyer, William ; http://d-nb.info/gnd/119176025",1745,1745,"vi Seiten, 1 ungezählte Seiten, 308 Seiten, teilweise gefaltete Blätter XXXVII-CIII","62 Illustrationen, 5 Karten",62,5,2°,"Die Illustrationen sind 1 Kupferstich-VIgnette auf dem Titelblatt (gezeichnet von H. Gravelot, gestochen von C. Grignon), 62 Kupferstich-Illustrationen und Pläne, 5 Kupferstich-Karten. - Vignetten im Text ; Gedruckte Marginalien ; Fußnoten","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0829 ; Tobler, Bibliographia Geographica Palaestinae, 127 ; Röhricht, BIbliotheca Bibliographica Palaestinae, 1396 ; Stuck I, 1119 ; Weber I, 513",,,eng,,,,,,,,,"Gravelot, Hubert François ; http://d-nb.info/gnd/121286673 $ Grignion, Charles ; http://d-nb.info/gnd/1036111024",,,Reisebericht,,,Orient,TravelogueE18 Asien Europa $ TravelogueE18 Orient,,"62.P.1.(Vol.2,2) PRUNK",ZALT,
AC09956203,AC09956203,990031148060603338,http://data.onb.ac.at/ABO/%2BZ16661860X,Z16661860X,"Hill, Aaron",,,"<<A>> Full and Just Account Of The Present State Of The Ottoman Empire In all its Branches: $ With The Government, and Policy, Religion, Customs, and Way of Living of the Turks, in General. : Faithfully Related : From a Serious Observation, taken in many Years Travels thro' those Countries. $ By Aaron Hill, Gent.",,,London,,London ; http://d-nb.info/gnd/4074335-4,Printed for the Author,,,1709,1709,,,,,,,,,,eng,,,,,,,,,,,,Reisebericht,,,Türkei,TravelogueE18 Asien Europa $ TravelogueE18 Orient,,61.A.30 PRUNK,ZALT,
AC10471717,AC10471717,990036410370603338,http://data.onb.ac.at/ABO/%2BZ186485507,Z186485507,"Ingram, Dale",,,"<<An>> Historical Account Of The Several Plagues that have appeared in the world since the year 1346. $ With An Enquiry into the present prevailing Opinion, That the Plague is a Contagious Distemper, capable of being transported in Merchandize, from one Country to another : In which The Absurdity of such Notions is exposed, and the Arguments that have been made use of to support them, refuted : To which are added A particular Account of the Yellow Fever, shewing its periodical Appearance to be similar to the Plague : Also Observations on Dr Mackenzie's Letters; read before the Royal Society on this Subject : And An Abstract of Capt. Isaac Clemens's Voyage in the Sloop Fawey, From their Arrival in the Mould of Algiers, to the Sinking of her, on a Supposition that the Plague was on board her. Taken from his Log-Book. $ By Dale Ingram, Surgeon and Man-Midwife",,,London,London ; http://d-nb.info/gnd/4074335-4,,Printed for R. Baldwin and J. Clark,,,M.DCC.LV.,1755,"4 ungezählte Seiten, iv Seiten, 208 Seiten",,,,8°,Kein illustrierender Inhalt.,"Auf dritter ungezählten Seite: Widmung des Verfassers an John, Marquis of Granby, datiert Dec. 14, 1754.",,,eng,,,,,,,"Clemens, Isaac",,,,"Granby, John <<Marquis of>>",,,,Epidemie ; Pest ; Schifffahrt,,,70.X.62 PRUNK,ZALT,
AC10202180,AC10202180,990033659340603338,http://data.onb.ac.at/ABO/%2BZ222079004,Z222079004,"Plaisted, Bartholomew ; http://d-nb.info/gnd/1128838087",,,"<<A>> Journal From Calcutta in Bengal, by Sea, to Busserah: From thence Across the Great Desart to Aleppo: And from thence to Marseilles, and thro' France to England, In the Year MDCCL. $ To which are added, Capt. Elliot's Directions for passing over the Little Desart, from Busserah, by the Way of Bagdad, Mousul, Orfa, And Aleppo; An Account of the Countries, Cities and Towns adjacent to Bengal; With a Map by Mr. Plaisted:  And A Journal Of The Proceedings Of The Doddington East-Indiaman, Till she was unfortunately wreckedd on the East Coast of Africa. With a Daily Account of the Transactions of twenty-three of the People, who were miraculously saved on an uninhabited and barren Island: A Draught of which is prefixed, By Mr. Webb, One of the Mates beloging to the said Ship. $ By Mr. Bartholomew Plaisted, In the East-India Company's Service.",,The Second Edition,London,London,,Printed for T. Kinnersly,,,MDCCLVIII.,1758,"2 ungezählte Seiten, Seiten 1-182, Seite 181, das heißt 183, Seiten 184-222",,,,12°,"gefaltete Karten weder im Digitalisat sichtbar, noch zum Datensatz verknüpft.","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0825","Anmerkung: im Datensatz ursprünglich ""Feld 246 10","1750"" - ""Feld 300 ; 2 ungezählte Seiten, 289 Seiten, 2 ungezählte gefaltete Blätter Karten ; 2 Karten ; 8°""",eng,,,,,,,"Eliot, Eliot",,,,,Reisebericht,,,Forschungsreise ; Indien ; Mesopotamien ; Forschungsreise ; Syrien,,,28.V.7 PRUNK,ZALT,
AC09760355,AC09760355,990029144390603338,http://data.onb.ac.at/ABO/%2BZ151638905,Z151638905,"Campbell, Donald ; http://d-nb.info/gnd/12431046X",,,"<<A>> Journey Over Land To India $ Partly By A Route Never Gone Before By Andy European, By Donald Campbell, of Barbreck, Esq. Who Formerly Commanded A Regiment Of Cavalry In The Service Of His Highness The Nabob Of The Carnatic. In A Series Of Letters To His Son. Comprehending His Shipwreck And Imprisonment With Hyder Alli, And His Subsequent Negociations And Transactions In The East",,,London,London ; http://d-nb.info/gnd/4074335-4,London ; http://d-nb.info/gnd/4074335-4,For T. N. Longman $ Printed By Vaughan Griffiths,,,1796,1796,"xvii Seiten, 3 ungezählte Seiten, 176, 138, 181, 9 Seiten",,,,4°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0111","Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: London. Printed By Vaighan Griffiths, For T. N. Longman, No. 39. Paternoster-Row. 1796.",,eng,,,,,"Campbell, Frederick William",,,,,,,Reisebericht,,,Forschungsreise ; Geschichte 1781-1795 ; Indien ; Oberitalien ; Griechenland ; Naher Osten ; Iran,TravelogueE18 Europa Asien $ TravelogueE18 Orient,,4.T.3 PRUNK,ZALT,
